Terrain_Num,Path
41,"0.00,0.00;1.47,-2.80;2.80,-4.87;4.72,-6.19;7.23,-7.37;9.00,-9.00;9.00,-9.00"
42,"0.00,0.00;2.80,-2.95;5.75,-5.90;7.23,-8.26;9.00,-9.00;9.00,-9.00"
43,"0.00,0.00;2.65,-1.77;4.28,-4.42;7.23,-7.37;9.00,-9.15;9.00,-9.00"
44,"0.00,0.00;2.51,-1.03;4.42,-3.10;5.75,-5.90;8.56,-8.56;9.00,-9.00;9.00,-9.00"
45,"0.00,0.00;1.47,-2.80;3.69,-4.42;5.75,-6.64;8.11,-8.26;9.00,-9.15;9.00,-9.00"
46,"0.00,0.00;0.29,-2.95;2.36,-4.13;5.31,-5.46;8.26,-8.41;9.00,-9.15;9.00,-9.00"
47,"0.00,0.00;2.80,-1.62;5.31,-2.51;6.93,-4.42;7.23,-7.23;9.00,-9.00;9.00,-9.00"
48,"0.00,0.00;2.06,-2.21;4.57,-4.72;7.52,-7.52;9.00,-9.00;9.00,-9.00"
49,"0.00,0.00;1.33,-2.06;3.98,-3.54;5.90,-6.05;8.85,-9.00;9.00,-9.15;9.00,-9.00"
50,"0.00,0.00;1.92,-2.80;4.42,-3.24;7.23,-3.98;7.96,-6.34;9.00,-9.00;9.00,-9.00"
